Q4687007	ÉACÉES [sé], fêtes que l'on célébrait dans l'île d'Egine, en l'honneur d'Eaque, fils de Jupiter.
Q403377	ÉACIDE, roi d'Epire, m. en 313 av. J.-C.
Q403358	ÉACIDES, nom donné aux descendants d'Eaque, tels que Pélée, Achille et Pyrrhus Néoptolème, etc.
Q206187	ÉAQUE, fils de Jupiter, roi d'Egine. Célèbre par sa justice, il devint, à sa mort, l'un des trois juges des enfers avec Minos et Rhadamante (Myth.).
Q6133283	EARLE [ir-le] (James), chirurgien oculiste anglais, né à Londres (1755-1817).
Q7789218	EARLE (Thomas), jurisconsulte et écrivain américain (1791-1849).
Q1065352	EASTLAKE [ist'-lè-ke] (Charles Lock), peintre anglais, né à Plymouth, auteur d'une Histoire de la peinture à l'huile (1793-1865).
Q326162	EASTWICK [ist'-ouik'] (Edward Backhouse), orientaliste et diplomate anglais (1814-1883).
Q609744	EAUX-BONNES [ô-bo-ne], comm. des Basses-Pyrénées, arr. d'Oloron, au confluent de la Soude et du Valentin, affluent du gave d'Ossau ; 780 h. Eaux thermales sulfurées sodiques et calciques.
Q3046747	EAUX-CHAUDES [ô-chô-de], village de la commune de Laruns (Basses-Pyrénées), au-dessus du gave d'Ossau ; 220 h. Eaux thermales sulfureuses.
Q689525	EAUZE [é-au-ze], ch.-l. de c. (Gers), arr. de Condom, au-dessus de la Gélise ; 4.000 h. (Elusates). Eaux-de-vie. Patrie de Rufin.
Q942414	EBERHARD [è-bè-rard'] (Jean-Auguste), philosophe allemand, qui défendit les doctrines de Leibniz (1739-1809).
Q62765	EBERS [é-bèrss] (Georges-Maurice), égyptologue et romancier allemand, né à Berlin (1837-1898).
Q1278564	EBERSBERG [e-bèrs'-bèrgh] ou EBELSBERG, village d'Austro-Hongrie (Haute-Autriche) ; 2.200 h. Victoire de Masséna sur les Autrichiens (1809).
Q873849	EBERSDORF [é-bèrs'] ou KAISER-EBERSDORF, v. d'Austro-Hongrie (Basse-Autriche), en face de l'île Lobau ; 3.500 h.
Q208171	ÉBIONITES, hérétiques du ier siècle, qui niaient la divinité de Jésus-Christ et soutenaient que les pauvres seuls seront sauvés.
Q1344385	ÉBLÉ (Jean-Baptiste), général français, né à Saint-Jean-de-Rorbach (Moselle). Il fut chargé de surveiller pendant la retraite de Russie les ponts de la Bérésina, et sauva un grand nombre de malheureux. Il mourut en Prusse des suites de la campagne (1758-1812).
Q10965	ÈBRE, fleuve d'Espagne. Il a sa source dans les monts Cantabres, arrose Logroño, Saragosse, Tortose, et se jette dans la Méditerranée ; 900 kil.
Q273297	ÉBREUIL, ch.-l. de c. (Allier), arr. de Gannat, sur la Sioule, s.-affl. de l'Allier ; 2.150 h.
Q458841	ÉBROÏN [bro-in], maire du palais de Neustrie en 657 à la mort d'Erkinoald, sous Clotaire III, Thierry III et Childéric II. Il fit mettre à mort son adversaire saint Léger, et battit les Austrasiens à Latofao (680). Il périt assassiné l'année suivante.
Q323500	ÉBURONS [ron], peuple de la Gaule, établi entre la Meuse et la Dyle (auj. prov. belge de Liège).
Q696193	ECBATANE (Ahmeta d'après la Bible), capit. de l'ancienne Médie ; aujourd'hui Hamadan (Perse).
Q3717885	Ecce homo, tableau du Corrège, à la National Gallery (Londres) ; — du Titien et de Van Dyck, musée du Belvédère (Vienne) ; — d'Annibal Carrache et du Guerchin, pinacothèque de Munich ; — du Guide, de Pierre Mignard (Louvre).
Q131072	Ecclésiaste (l'), ouvrage attribué à Salomon, et rangé par l'Eglise dans les livres canoniques. Il développe la fameuse maxime : « Vanité des vanités, tout est vanité. »
Q155980	Ecclésiastique (l'), un des livres sapientiaux de l'Ancien Testament. Le concile de Trente l'a déclaré canonique, contrairement à l'opinion des juifs.
Q127349	ECHEGARAY (José), savant, auteur dramatique et homme politique espagnol, né à Madrid en 1835.
Q538131	ÉCHELLES (Les), ch.-l. de c. (Savoie), arr. de Chambéry, sur le Guiers-Vif ; 850 h.
Q3577463	Échelles du Levant. Ce nom, qui vient du turc iskele (jetée), est donné aux ports marchands de la Méditerranée soumis à la domination turque, tels que Constantinople, Salonique, Beyrouth, Smyrne, Alep, Alexandrie, Tripoli, etc.
Q87736953	Échevins ou scabins. Sous les deux premières races, les échevins ne furent que des conseillers judiciaires, et ils disparurent sous la féodalité pour faire place aux baillis et prévôts. Dans les villes, ils se firent nommer par les bourgeois à la direction des affaires municipales et, sous la présidence d'un maire, ils formèrent le conseil des communes. Ils furent supprimés en 1789. — A Toulouse on les appelait capitouls, et à Bordeaux jurats.
Q185670	ECHIDNA [é-kid'-na], monstre fabuleux, moitié femme et moitié serpent, qui enfanta Cerbère, l'hydre de Lerne, la Chimère, le Sphinx, le Dragon, la Gorgone, le lion de Némée, etc.
Q3365517	Échiquier, nom donné, sous l'ancien régime, au parlement de Normandie.
